,comuna,year,semestre,fecha_semestre,cantidad victimas,objetivo_comunal,cantidad_victimas_total,objetivo_total
118,Comuna 10,2021,2,2021-12-31,1.0,0.93,42,50.22
147,Comuna 11,2021,2,2021-12-31,3.0,0.93,42,50.22
148,Comuna 11,2021,2,2021-12-31,3.0,0.93,42,50.22
149,Comuna 11,2021,2,2021-12-31,3.0,0.93,42,50.22
150,Comuna 11,2021,2,2021-12-31,3.0,0.93,42,50.22
185,Comuna 12,2021,2,2021-12-31,2.0,2.79,42,50.22
186,Comuna 12,2021,2,2021-12-31,2.0,2.79,42,50.22
187,Comuna 12,2021,2,2021-12-31,2.0,2.79,42,50.22
225,Comuna 13,2021,2,2021-12-31,2.0,1.86,42,50.22
226,Comuna 13,2021,2,2021-12-31,2.0,1.86,42,50.22
258,Comuna 14,2021,2,2021-12-31,,,42,50.22
325,Comuna 2,2021,2,2021-12-31,,,42,50.22
326,Comuna 2,2021,2,2021-12-31,,,42,50.22
327,Comuna 2,2021,2,2021-12-31,,,42,50.22
368,Comuna 3,2021,2,2021-12-31,1.0,1.86,42,50.22
369,Comuna 3,2021,2,2021-12-31,1.0,1.86,42,50.22
370,Comuna 3,2021,2,2021-12-31,1.0,1.86,42,50.22
371,Comuna 3,2021,2,2021-12-31,1.0,1.86,42,50.22
372,Comuna 3,2021,2,2021-12-31,1.0,1.86,42,50.22
442,Comuna 4,2021,2,2021-12-31,1.0,4.65,42,50.22
443,Comuna 4,2021,2,2021-12-31,1.0,4.65,42,50.22
444,Comuna 4,2021,2,2021-12-31,1.0,4.65,42,50.22
445,Comuna 4,2021,2,2021-12-31,1.0,4.65,42,50.22
467,Comuna 5,2021,2,2021-12-31,,,42,50.22
485,Comuna 6,2021,2,2021-12-31,2.0,0.93,42,50.22
486,Comuna 6,2021,2,2021-12-31,2.0,0.93,42,50.22
487,Comuna 6,2021,2,2021-12-31,2.0,0.93,42,50.22
488,Comuna 6,2021,2,2021-12-31,2.0,0.93,42,50.22
545,Comuna 7,2021,2,2021-12-31,2.0,0.93,42,50.22
546,Comuna 7,2021,2,2021-12-31,2.0,0.93,42,50.22
547,Comuna 7,2021,2,2021-12-31,2.0,0.93,42,50.22
612,Comuna 8,2021,2,2021-12-31,1.0,2.79,42,50.22
680,Comuna 9,2021,2,2021-12-31,1.0,1.86,42,50.22
681,Comuna 9,2021,2,2021-12-31,1.0,1.86,42,50.22
682,Comuna 9,2021,2,2021-12-31,1.0,1.86,42,50.22
683,Comuna 9,2021,2,2021-12-31,1.0,1.86,42,50.22
